,Category 1,Category 2,Category 3,Payment_Situation_Payment verified,EX_level_demand,Spent,Connects,Feedback_Num,Hourly_Rate,Applicants_Num,Client_Country
59,CRM and Marketing Tools,API Development,"Google Analytics, Other",1.0,1.0,8.699681400989514,4.0,3.044522437723423,57.5,8.0,Canada
60,Data Analysis and Visualization,Web Development,"Python, Other",1.0,2.0,4.61512051684126,4.0,0.0,37.5,8.0,United States
61,E-commerce Platforms,Data Analysis and Visualization,"Excel, Other",1.0,0.0,4.394449154672439,12.0,0.6931471805599453,26.0,8.0,United States
64,CRM and Marketing Tools,Data Analysis and Visualization,"HubSpot, Salesforce, Looker",1.0,2.0,10.308985993422082,4.0,3.8066624897703196,57.5,8.0,United States
66,Data Analysis,Data Analysis,"SQL, Python, Excel",1.0,1.0,7.601402334583733,12.0,2.4849066497880004,77.5,18.0,United States
67,Data Analysis and Visualization,Data Engineering,"Python, MySQL, MongoDB, Other",1.0,1.0,4.61512051684126,4.0,0.0,57.5,35.0,United States
68,Data Analysis and Visualization,Data Engineering,"Tableau, Other",1.0,1.0,11.289794413577894,12.0,4.219507705176107,100.0,18.0,United States
69,BI and Analytics,Data Analysis and Visualization,"Excel, Power BI",1.0,1.0,6.55250788703459,12.0,0.6931471805599453,30.0,35.0,United States
73,Data Analysis and Visualization,Data Engineering,"Excel, Python, SQL, Power BI",0.0,2.0,0.0,4.0,0.0,59.0,18.0,United States
74,B2C Marketing,Data Analysis and Visualization,"Google Analytics, Google Data Studio",1.0,2.0,11.407576060361786,12.0,3.2188758248682006,59.0,13.0,United States
75,BI and Analytics,Data Engineering,"Google Analytics, Tableau, Google Data Studio, Salesforce, Other",1.0,1.0,7.601402334583733,8.0,0.0,75.0,13.0,United States
76,Ai mobile app development,APIs and Integrations,"Python, Google Cloud Platform, AWS",1.0,2.0,10.308985993422082,4.0,4.0943445622221,159.0,8.0,United Arab Emirates
78,AI mobile app development,Data Analysis and Visualization,"Python, TensorFlow, PyTorch, AWS",1.0,2.0,9.210440366976517,4.0,4.248495242049359,29.0,13.0,United States
80,Artificial Intelligence,Deep Learning,Other,1.0,1.0,9.210440366976517,4.0,3.7376696182833684,53.0,35.0,Ukraine
81,BI and Analytics,Data Analysis and Visualization,"AWS, SQL, Python, Other",1.0,1.0,9.210440366976517,4.0,2.3978952727983707,57.5,18.0,United States
82,Natural Language Processing,Data Engineering,"API Development, Python, Other",1.0,1.0,10.596659732783579,12.0,3.6109179126442243,45.0,8.0,United States
83,3D Modeling and Animation,Data Analysis and Visualization,Other,0.0,2.0,0.0,8.0,0.0,27.5,3.0,United States
84,DevOps and CI/CD,Cloud Platforms,"AWS, Python, MATLAB, Other",0.0,2.0,0.0,12.0,0.0,85.0,13.0,United States
85,Ai mobile app development,Artificial Intelligence,"Python, TensorFlow",1.0,1.0,0.0,12.0,0.0,60.0,13.0,Canada
86,BI and Analytics,Data Analysis and Visualization,"Excel, Tableau, API Development",1.0,2.0,6.90875477931522,12.0,0.0,30.5,8.0,United States
89,Data Analysis and Visualization,Data Engineering,"Python, SQL, Tableau",0.0,2.0,0.0,8.0,0.0,27.5,3.0,United States
90,Ai mobile app development,APIs and Integrations,Other,0.0,1.0,0.0,8.0,0.0,30.0,3.0,United States
91,BI and Analytics,Data Analysis and Visualization,"Google Analytics, Python",1.0,2.0,0.0,8.0,0.0,35.0,35.0,United States
93,Computer Vision,Data Analysis and Visualization,"Python, Other",0.0,2.0,0.0,2.0,0.0,25.0,18.0,United States
94,Artificial Intelligence,Data Analysis and Visualization,"Python, Tableau",1.0,2.0,8.294299608857235,8.0,2.0794415416798357,47.5,13.0,United States
95,Data Analysis and Visualization,Data Engineering,"MySQL, AWS, PHP",1.0,1.0,9.210440366976517,4.0,3.1780538303479458,50.0,35.0,United States
99,Data Engineering,Data Engineering,Other,1.0,1.0,6.90875477931522,8.0,0.0,30.0,13.0,United States
100,Data Engineering,Data Engineering,"AWS, Glue",1.0,1.0,6.803505257608338,4.0,1.791759469228055,16.5,8.0,United States
102,B2B Marketing,Data Engineering,"LinkedIn, Python, Other",1.0,1.0,4.394449154672439,12.0,0.0,6.5,35.0,Australia
103,Natural Language Processing,,Other,1.0,1.0,4.51085950651685,12.0,0.6931471805599453,100.0,3.0,United States
107,Data Analysis and Visualization,Data Engineering,"Python, SQL, Tableau",0.0,1.0,0.0,12.0,0.0,57.5,35.0,Switzerland
109,Algorithm development,Web Development,"Python, JavaScript, Node.js, React",1.0,1.0,8.006700845440367,12.0,0.6931471805599453,20.0,3.0,Switzerland
110,Branding & Marketing,Analytics,"Google Analytics, Google Ads, Other",1.0,2.0,7.601402334583733,4.0,0.6931471805599453,23.0,13.0,Canada
111,BI and Analytics,Data Analysis and Visualization,"Google Data Studio, Looker, Other",1.0,2.0,11.51293546492023,4.0,5.10594547390058,35.0,8.0,United States
112,Data Analysis and Visualization,ETL,"Python, SQL, Data Warehousing",0.0,2.0,0.0,2.0,0.0,22.5,35.0,United States
113,Data Analysis and Visualization,Data Engineering,Excel,1.0,2.0,6.55250788703459,4.0,1.6094379124341003,7.0,50.0,United States
114,Algorithm development,Artificial Intelligence,"Python, TensorFlow, PyTorch, Git, Other",0.0,1.0,0.0,2.0,0.0,52.5,35.0,United Kingdom
115,Data Analysis and Visualization,Web Development,"Python, Other",1.0,0.0,0.0,4.0,0.0,9.0,50.0,United Arab Emirates
116,B2b marketing,CRM and Marketing Tools,Google Analytics,1.0,2.0,6.90875477931522,12.0,1.6094379124341003,30.5,13.0,United Kingdom
118,Data Analysis and Visualization,Data Engineering,"SQL, Other",1.0,1.0,8.294299608857235,4.0,1.791759469228055,26.5,8.0,United States
119,Business Intelligence and Analytics,Data Engineering,SQL,0.0,1.0,0.0,8.0,0.0,97.5,8.0,United States
120,Data Analysis and Visualization,Data Engineering,"Python, SQL",1.0,1.0,8.987321812850125,12.0,1.9459101490553132,21.5,3.0,France
121,Data Analysis and Visualization,Data Engineering,"SQL, Python",1.0,1.0,7.601402334583733,4.0,0.6931471805599453,75.0,13.0,United States
122,3d floor plan,Data Analysis and Visualization,Other,0.0,1.0,0.0,8.0,0.0,57.5,13.0,Canada
123,AI mobile app development,Artificial Intelligence,Other,1.0,0.0,7.601402334583733,12.0,3.4011973816621555,10.0,13.0,United Kingdom
124,Data Analysis and Visualization,Data Engineering,"Python, SQL, Other",1.0,2.0,10.596659732783579,12.0,3.9318256327243257,17.5,35.0,United States
125,Data Analysis and Visualization,Data Engineering,Excel,1.0,2.0,11.51293546492023,12.0,4.6443908991413725,16.5,50.0,Switzerland
127,Artificial Intelligence,Data Analysis and Visualization,"TensorFlow, Python",1.0,2.0,11.51293546492023,12.0,4.68213122712422,40.0,13.0,Germany
135,Data Engineering,ETL,"SQL, R, Python, Azure, Other",1.0,1.0,6.68586094706836,12.0,1.3862943611198906,11.0,8.0,United States
136,Data Analysis and Visualization,Data Engineering,"Excel, Python",1.0,1.0,8.006700845440367,4.0,2.4849066497880004,31.5,35.0,United States
137,Data Analysis and Visualization,ETL,Alteryx,1.0,0.0,11.51293546492023,12.0,5.14166355650266,7.5,3.0,Belgium
138,Back-end development,Programming Languages,"Git, Docker, Kubernetes, Other",1.0,2.0,4.394449154672439,12.0,1.0986122886681098,20.0,13.0,Egypt
139,Data Analysis and Visualization,Data Engineering,Excel,0.0,0.0,0.0,2.0,0.0,22.5,50.0,Nigeria
142,Algorithm development,Data Analysis and Visualization,"Python, Other",1.0,2.0,5.707110264748875,4.0,1.3862943611198906,12.5,35.0,Spain
143,Data Analysis and Visualization,ETL,"AWS, Glue, Python, SQL, Other",1.0,2.0,11.156264806643742,4.0,5.10594547390058,20.0,35.0,Australia
144,Algorithm development,Computer Vision,"iOS, Other",1.0,2.0,11.51293546492023,12.0,1.791759469228055,29.0,18.0,Germany
147,Business applications development,Data Analysis and Visualization,Other,1.0,1.0,10.308985993422082,4.0,2.302585092994046,25.0,35.0,United Kingdom
148,Branding & Marketing,Social Media and Marketing,"Google Analytics, Squarespace, Other",0.0,2.0,0.0,12.0,0.0,12.5,3.0,United Kingdom
150,Data Analysis and Visualization,BI and Analytics,"SQL, Python",0.0,2.0,0.0,8.0,0.0,30.5,18.0,Kenya
152,,,Other,0.0,2.0,0.0,4.0,0.0,18.0,13.0,South Africa
153,Computer Vision,,"Machine Learning, Deep Learning",1.0,1.0,5.303304908059076,12.0,1.3862943611198906,52.5,35.0,Pakistan
154,B2b marketing,CRM and Marketing Tools,"Google Analytics, Google Ads, Other",1.0,2.0,11.289794413577894,12.0,4.2626798770413155,20.0,35.0,United States
158,3d design,Data Analysis and Visualization,"Python, JavaScript, Tableau, Other",1.0,2.0,8.853808274977197,12.0,0.6931471805599453,32.5,18.0,United Kingdom
160,Data Analysis and Visualization,Data Engineering,"SQL, R, Python, Java",1.0,1.0,4.110873864173311,12.0,0.6931471805599453,15.0,13.0,India
163,Data Analysis and Visualization,SQL,"SQL, Other",1.0,2.0,11.51293546492023,12.0,5.225746673713202,10.0,13.0,Singapore
164,Natural Language Processing,,API Development,1.0,2.0,9.210440366976517,4.0,3.58351893845611,29.0,35.0,Australia
166,BI and Analytics,Data Analysis and Visualization,"Python, SQL, Power BI, Google Data Studio",1.0,2.0,0.0,4.0,0.0,27.5,35.0,United Arab Emirates
169,Front-end development,Web Development,"React, JavaScript, HTML, CSS, TypeScript, Other",0.0,1.0,0.0,8.0,0.0,36.0,50.0,Israel
171,App Development,Web Development,"Excel, Other",1.0,1.0,6.55250788703459,4.0,0.6931471805599453,42.5,35.0,Australia
172,Machine Learning,Data Engineering,"Python, API Development, Other",1.0,1.0,10.308985993422082,4.0,1.791759469228055,30.0,35.0,United Kingdom
175,Data Analysis and Visualization,Data Engineering,"Excel, LinkedIn, Other",1.0,2.0,6.398594934535208,12.0,1.0986122886681098,9.0,35.0,New Zealand
177,Business applications development,Data Analysis and Visualization,"Stripe API, SQL",1.0,1.0,11.156264806643742,12.0,2.3978952727983707,52.5,8.0,Australia
180,Data Analysis and Visualization,Data Engineering,"Python, Airflow",1.0,2.0,11.51293546492023,12.0,3.58351893845611,16.5,35.0,United States
184,Data Analysis and Visualization,Data Engineering,"Excel, Other",1.0,1.0,0.0,4.0,0.0,7.5,18.0,Pakistan
185,Data Analysis and Visualization,Data Engineering,"SQL, Python, PostgreSQL",0.0,0.0,0.0,8.0,0.0,44.5,13.0,United States
188,Data Architect,Data Engineering,"SQL, Python, Other",1.0,1.0,0.0,12.0,0.0,35.0,3.0,Poland
189,Artificial Intelligence,Deep Learning,"Python, TensorFlow",0.0,1.0,0.0,8.0,0.0,52.5,35.0,India
190,Algorithm development,Data Analysis and Visualization,"Python, SQL",1.0,1.0,10.596659732783579,12.0,4.290459441148391,52.5,35.0,India
192,BI and Analytics,Data Analysis and Visualization,"Power BI, SQL",0.0,1.0,0.0,8.0,0.0,86.5,35.0,United States
196,B2B Marketing,Data Analysis and Visualization,"Google Analytics, Tableau",1.0,1.0,11.51293546492023,12.0,5.135798437050262,62.5,8.0,United States
201,Data Analysis and Visualization,Data Engineering,Other,1.0,1.0,2.3978952727983707,12.0,0.0,7.0,8.0,United States
202,Machine Learning,Natural Language Processing,"Python, TensorFlow, PyTorch",1.0,2.0,6.90875477931522,4.0,2.6390573296152584,21.5,18.0,United States
206,Data Analysis and Visualization,Data Engineering,"Python, Excel",1.0,2.0,8.294299608857235,4.0,2.1972245773362196,16.5,50.0,Hong Kong
208,Back-end development,Web Development,"HTML, CSS, JavaScript, MySQL, React, React Native",0.0,2.0,4.394449154672439,8.0,0.0,10.0,3.0,Philippines
209,Training & Development,Teaching,"Python, PyTorch, Other",0.0,0.0,0.0,4.0,0.0,21.5,8.0,Australia
210,API Development,Web Development,"Python, Flask, HTML, Other",1.0,2.0,0.0,4.0,0.0,24.0,18.0,United States
211,BI and Analytics,Data Analysis and Visualization,Other,1.0,2.0,0.0,12.0,0.0,25.0,35.0,Australia
213,App development,Web Development,"Python, Django, PostgreSQL, Ansible, API Development, GitHub",1.0,2.0,9.90353755128617,12.0,2.6390573296152584,25.5,35.0,Australia
214,Data Analysis and Visualization,Data Engineering,"Python, Other",0.0,1.0,0.0,12.0,0.0,15.0,8.0,United States
215,Algorithm development,Data Analysis and Visualization,"Python, GitHub, Other",0.0,2.0,0.0,2.0,0.0,45.0,18.0,United States
216,Data Analysis and Visualization,Web Development,"Python, Other",1.0,1.0,7.601402334583733,12.0,0.6931471805599453,22.5,50.0,United States
217,Data Analysis and Visualization,Data Engineering,Other,0.0,1.0,0.0,8.0,0.0,6.5,13.0,United Arab Emirates
218,BI and Analytics,Data Engineering,"Power BI, AWS, SQL, Other",0.0,2.0,0.0,8.0,0.0,40.0,8.0,Pakistan
219,Business development,Data Analysis and Visualization,"Google Data Studio, Python",1.0,1.0,10.819798284210286,4.0,4.430816798843313,50.0,13.0,United States
220,Data Analysis and Visualization,Data Engineering,"MongoDB, Python, Other",1.0,1.0,11.51293546492023,12.0,2.8903717578961645,35.0,8.0,United States
221,Data Analysis and Visualization,Data Engineering,"Python, Other",1.0,2.0,11.51293546492023,12.0,3.367295829986474,6.5,50.0,United States
223,Business applications development,Data Analysis and Visualization,Google Analytics,1.0,1.0,8.006700845440367,4.0,2.1972245773362196,40.0,35.0,United States
224,BI and Analytics,Data Engineering,"Power BI, SQL",1.0,2.0,11.51293546492023,12.0,3.044522437723423,57.5,35.0,United States
227,Google Analytics,Data Analysis and Visualization,"Google Analytics, JavaScript, HTML, CSS, Other",1.0,2.0,8.294299608857235,12.0,2.5649493574615367,20.0,18.0,Netherlands
228,Data Analysis and Visualization,Web Development,"JavaScript, HTML, CSS, React, Other",1.0,2.0,11.289794413577894,12.0,4.1588830833596715,5.5,3.0,Australia
229,Analytics,,Other,1.0,1.0,11.156264806643742,8.0,4.31748811353631,57.5,35.0,United States
230,Data Engineering,ETL,"Databricks, SQL, PostgreSQL, MongoDB, Other",0.0,1.0,0.0,2.0,0.0,40.0,13.0,India
236,Artificial Intelligence,Machine Learning,Python,1.0,2.0,9.210440366976517,12.0,3.4011973816621555,3.0,8.0,United States
237,BI and Analytics,Data Analysis and Visualization,"Python, SQL, Other",1.0,1.0,11.51293546492023,12.0,4.634728988229636,47.5,35.0,United States
238,Brand Development,Data Analysis and Visualization,"SQL, Other",1.0,1.0,10.596659732783579,12.0,2.9444389791664403,80.0,3.0,United States
239,Computer Vision,Image Classification,"TensorFlow, PyTorch, Other",1.0,1.0,8.853808274977197,12.0,0.6931471805599453,200.0,35.0,United States
240,Branding & Marketing,BI and Analytics,"Google Analytics, Google Ads",1.0,1.0,0.0,4.0,0.0,25.0,18.0,United States
244,Data Analysis and Visualization,Excel,"Excel, Other",1.0,2.0,4.61512051684126,12.0,0.0,59.0,50.0,United States
246,Ai mobile app development,Artificial Intelligence,"Python, Other",1.0,2.0,11.51293546492023,4.0,4.007333185232471,22.5,35.0,United States
247,BI and Analytics,Data Engineering,"Power BI, SQL",1.0,1.0,0.0,12.0,0.0,52.5,50.0,United States
249,GIS,Data Analysis and Visualization,Other,1.0,2.0,11.51293546492023,4.0,2.1972245773362196,30.5,50.0,United States
250,Data Analysis and Visualization,Data Engineering,"Python, Shopify, Other",1.0,1.0,7.601402334583733,12.0,3.7612001156935624,57.5,8.0,United States
251,Brand Marketing,API Development,"Facebook, Other",0.0,1.0,0.0,4.0,0.0,14.0,8.0,Pakistan
252,Business development,Data Analysis and Visualization,"Google Analytics, Google Data Studio, Python",1.0,1.0,11.002116507732017,12.0,3.332204510175204,35.0,35.0,United States
254,Market Research,Data Analysis and Visualization,"Python, SQL, Excel",1.0,2.0,10.819798284210286,12.0,0.0,3.5,8.0,United States
258,B2B Marketing,Data Analysis and Visualization,Other,1.0,1.0,0.0,8.0,0.0,29.0,35.0,United States
260,Marketing,Data Analysis and Visualization,"Google Analytics, Other",1.0,1.0,6.68586094706836,4.0,1.0986122886681098,47.5,13.0,United States
261,BI and Analytics,Data Engineering,"SQL, Python, C++, MongoDB, AWS, Azure, Tableau, Power BI, Alteryx, Other",1.0,2.0,6.398594934535208,12.0,1.3862943611198906,55.0,3.0,United States
263,Data Analysis and Visualization,Data Engineering,"AWS, Azure, Databricks, Spark, ETL, Airflow, Other",0.0,2.0,0.0,8.0,0.0,117.5,8.0,Australia
265,BI and Analytics,Data Analysis and Visualization,"SQL, Python, Tableau",1.0,2.0,2.3978952727983707,4.0,0.6931471805599453,10.0,13.0,United States
266,Data Analysis and Visualization,Data Engineering,"SQL, Excel",1.0,1.0,7.601402334583733,12.0,0.6931471805599453,62.5,35.0,United States
267,Data Analysis and Visualization,Data Engineering,"SQL, Python",1.0,2.0,10.596659732783579,12.0,2.0794415416798357,60.0,50.0,United States
268,AI mobile app development,Data Engineering,"Python, Other",1.0,1.0,8.006700845440367,4.0,1.0986122886681098,45.0,35.0,Australia
269,Brand marketing,Data Analysis and Visualization,Google Analytics,1.0,2.0,6.90875477931522,2.0,1.0986122886681098,70.0,3.0,Canada
270,Data Analysis and Visualization,Data Engineering,"Excel, Power BI",1.0,2.0,4.61512051684126,4.0,0.0,7.5,50.0,United States
271,BI and Analytics,Data Engineering,Power BI,1.0,1.0,7.601402334583733,12.0,4.61512051684126,7.5,35.0,United States
273,Data Analysis and Visualization,Data Engineering,Tableau,0.0,1.0,0.0,8.0,0.0,86.5,35.0,United States
277,Artificial Intelligence,Machine Learning,"Google Cloud Platform, TensorFlow, Python, Other",1.0,2.0,6.90875477931522,4.0,2.0794415416798357,29.0,18.0,United States
278,Data Analysis and Visualization,Web Development,"PHP, HTML, JavaScript, CSS, Other",1.0,1.0,4.394449154672439,12.0,2.995732273553991,30.0,13.0,United States
279,Business applications development,Data Analysis and Visualization,"LinkedIn, Other",1.0,0.0,9.210440366976517,2.0,3.044522437723423,6.0,50.0,United States
280,AI and ML Development,API Development,"Docker, Python, Other",1.0,2.0,11.51293546492023,4.0,4.983606621708336,27.5,35.0,United States
281,BI and Analytics,Data Engineering,"SQL, Other",1.0,2.0,10.596659732783579,4.0,3.4657359027997265,32.5,13.0,United States
282,BI and Analytics,Data Engineering,"Google Analytics, SQL, Python",1.0,1.0,4.61512051684126,12.0,0.0,100.0,13.0,United States
283,Business Development,Data Analysis and Visualization,"Google Analytics, Google Data Studio",0.0,2.0,0.0,2.0,0.0,48.0,35.0,United States
284,Data Analysis and Visualization,Data Engineering,"SQL, Python, PyTorch, AWS, Other",0.0,2.0,0.0,12.0,0.0,35.0,35.0,Canada
285,Data Engineering,Data Analysis and Visualization,"MySQL, AWS, Other",1.0,2.0,11.156264806643742,12.0,2.3978952727983707,25.0,35.0,United States
288,Machine Learning,Data Engineering,"Python, SQL, Other",1.0,2.0,11.289794413577894,12.0,1.0986122886681098,30.5,35.0,Puerto Rico
290,CRM and Marketing Tools,Web Development,"Tableau, HubSpot, Excel, Salesforce, Other",1.0,1.0,8.294299608857235,12.0,0.6931471805599453,30.0,50.0,United States
292,Business development,Web Development,"Python, JavaScript",0.0,1.0,0.0,8.0,0.0,52.5,35.0,United Arab Emirates
293,Data Analysis and Visualization,Web Development,"Python, MySQL, Other",1.0,2.0,9.90353755128617,12.0,4.406719247264253,16.5,3.0,United States
295,Data Analysis and Visualization,Data Engineering,"Python, Excel",1.0,1.0,11.51293546492023,4.0,3.828641396489095,30.0,50.0,United States
296,Data Analysis and Visualization,Data Analysis and Visualization,"Python, SQL",0.0,2.0,0.0,2.0,0.0,15.0,8.0,United Kingdom
297,Data Analysis and Visualization,ETL,"Android, Other",0.0,0.0,0.0,12.0,0.0,12.5,3.0,Poland
298,BI and Analytics,Data Analysis and Visualization,"Excel, Python, Other",0.0,1.0,0.0,12.0,0.0,57.5,18.0,United States
300,Data Analysis and Visualization,Data Engineering,"Google Data Studio, Other",1.0,2.0,5.993961427306569,12.0,0.0,37.5,8.0,United States
301,B2b marketing,Artificial Intelligence,"Python, Other",1.0,1.0,6.90875477931522,4.0,1.0986122886681098,65.0,8.0,United States
302,Data Analysis and Visualization,Data Engineering,"Excel, SQL, Other",1.0,1.0,6.68586094706836,4.0,1.0986122886681098,50.0,18.0,Canada
305,Affiliate marketing,Data Analysis and Visualization,Excel,1.0,2.0,9.90353755128617,4.0,4.007333185232471,9.0,35.0,Israel
306,AI mobile app development,Natural Language Processing,"Python, Other",0.0,2.0,0.0,8.0,0.0,29.0,8.0,United States
307,BI and Analytics,Data Analysis,"SQL, Python, Excel",1.0,1.0,10.819798284210286,4.0,2.9444389791664403,57.5,35.0,United States
308,Algorithm development,Data Analysis and Visualization,"Python, SQL",0.0,1.0,0.0,12.0,0.0,170.0,8.0,United States
309,Data Analysis and Visualization,APIs and Integrations,"Python, Other",1.0,2.0,11.51293546492023,4.0,4.890349128221754,7.5,35.0,Hong Kong
310,"BI and Analytics, Branding & Marketing",Data Analysis and Visualization,"Google Data Studio, Looker, SQL, Other",1.0,1.0,6.803505257608338,4.0,1.6094379124341003,52.5,35.0,United Kingdom
311,Branding & marketing,Web Development,"Google Analytics, Other",0.0,2.0,0.0,8.0,0.0,50.0,13.0,United States
312,Data Analysis and Visualization,Data Engineering,"SQL, Other",1.0,2.0,11.289794413577894,12.0,3.4657359027997265,20.0,50.0,Australia
313,Artificial Intelligence,Natural Language Processing,"Python, TensorFlow, PyTorch, API Development, Other",1.0,1.0,9.210440366976517,12.0,3.1780538303479458,52.5,35.0,Latvia
314,Algorithm development,Artificial Intelligence,"Python, Other",1.0,2.0,0.0,4.0,0.0,50.0,13.0,United States
315,Data Analysis and Visualization,Data Engineering,Other,1.0,2.0,11.51293546492023,12.0,3.295836866004329,55.0,35.0,Belgium
318,Data Analysis and Visualization,Data Engineering,"Python, SQL",1.0,2.0,4.394449154672439,12.0,4.382026634673881,40.0,3.0,Canada
319,Business development,Data Analysis and Visualization,"Python, SQL",0.0,2.0,0.0,2.0,0.0,23.0,18.0,United States
320,Content Editing,Linguistics,Other,1.0,0.0,0.0,8.0,0.0,3.0,8.0,Georgia
321,Data Analysis and Visualization,Data Engineering,"Python, SQL",0.0,0.0,0.0,2.0,0.0,22.5,35.0,Denmark
324,BI and Analytics,Data Analysis and Visualization,"Power BI, SQL, Other",1.0,2.0,11.51293546492023,12.0,3.1780538303479458,25.0,35.0,United States
325,BI and Analytics,Data Engineering,"Power BI, Zapier, Other",1.0,1.0,9.105090961257085,12.0,3.4339872044851463,105.0,35.0,United States
326,Artificial Intelligence,Data Analysis and Visualization,"Python, Other",0.0,2.0,0.0,2.0,0.0,25.0,13.0,Finland
328,Data Analysis and Visualization,Machine Learning,"Python, Other",1.0,2.0,11.51293546492023,8.0,3.6635616461296463,47.5,35.0,United Kingdom
329,Data Analysis and Visualization,Web Development,"Python, Excel, Other",1.0,2.0,4.2626798770413155,4.0,0.0,11.5,35.0,United States
