,Category 1,Category 2,Category 3,Payment_Situation_Payment verified,EX_level_demand,Spent,Connects,Feedback_Num,Job_Cost,Applicants_Num,Client_Country
65,Automation,Data Engineering,"Selenium, Python, Excel",1.0,1.0,11.002116507732017,8.0,4.543294782270004,200.0,13.0,Canada
70,B2B Marketing,Data Analysis and Visualization,Other,1.0,0.0,9.210440366976517,8.0,2.0794415416798357,100.0,35.0,United States
71,Algorithm development,Web Development,"Python, Other",1.0,2.0,4.61512051684126,4.0,1.0986122886681098,40.0,8.0,Nepal
72,Data Analysis and Visualization,Programming Languages,"R, Other",0.0,1.0,0.0,4.0,0.0,99.0,18.0,Pakistan
77,Algorithm development,Artificial Intelligence,"MATLAB, Computer Vision, Deep Learning",1.0,1.0,7.601402334583733,8.0,2.9444389791664403,200.0,35.0,United Kingdom
79,Web Scraping,Data Analysis,"Python, Other",1.0,0.0,4.61512051684126,8.0,1.3862943611198906,100.0,13.0,United States
87,Data Analysis and Visualization,Data Engineering,"Python, Excel, Tableau, Power BI, Other",1.0,0.0,5.707110264748875,8.0,1.9459101490553132,50.0,13.0,Bangladesh
88,Data Analysis and Visualization,Data Engineering,"Python, Selenium, Other",0.0,0.0,0.0,4.0,0.0,30.0,13.0,United States
92,Artificial Intelligence,Machine Learning,TensorFlow,1.0,0.0,6.90875477931522,4.0,4.852030263919617,5.0,3.0,Canada
96,Data Analysis and Visualization,Web Development,"Python, Google APIs, Other",1.0,1.0,9.90353755128617,12.0,2.70805020110221,2000.0,50.0,United States
97,Algorithm development,Programming Languages,"C++, Other",0.0,2.0,0.0,8.0,0.0,2000.0,8.0,Argentina
98,Algorithm Development,"Data Analysis and Visualization, BI and Analytics","Python, SQL",1.0,1.0,11.51293546492023,12.0,3.8918202981106265,20000.0,3.0,Switzerland
101,Business development,Data Analysis and Visualization,"API Development, Other",1.0,1.0,11.156264806643742,8.0,4.30406509320417,500.0,35.0,United Kingdom
104,BI and Analytics,Data Analysis and Visualization,"Google Analytics, Power BI, Tableau, SQL",0.0,1.0,0.0,2.0,0.0,20.0,18.0,United Kingdom
105,Data Analysis and Visualization,Data Engineering,"Excel, Python",0.0,2.0,0.0,4.0,0.0,200.0,8.0,Netherlands
106,Data Analysis and Visualization,Data Engineering,"Python, Other",0.0,0.0,0.0,8.0,0.0,1200.0,8.0,Switzerland
108,Automation,,Other,1.0,2.0,0.0,12.0,0.0,750.0,8.0,United States
117,3d modeling,Artificial Intelligence,"Python, TensorFlow",1.0,2.0,8.294299608857235,12.0,3.6635616461296463,1000.0,18.0,United States
126,Data Analysis and Visualization,Data Engineering,"Python, Other",1.0,2.0,4.394449154672439,8.0,4.68213122712422,400.0,50.0,United States
128,API Development,Data Engineering,"Python, SQL, MongoDB, PostgreSQL, Other",1.0,1.0,6.90875477931522,8.0,2.4849066497880004,500.0,3.0,United Kingdom
129,Brand Development,Web Development,"JavaScript, Python, Flask, Django, React, MySQL, Other",1.0,0.0,6.90875477931522,8.0,0.6931471805599453,175.0,8.0,Germany
130,Data Analysis and Visualization,Data Engineering,"API Development, SQL, Python, MySQL, MongoDB, Data Warehousing, Tableau, RESTful API, Postman, Other",1.0,0.0,5.993961427306569,8.0,2.4849066497880004,70.0,18.0,Belgium
131,Data Analysis and Visualization,Data Engineering,"SQL, Python, Google Data Studio",1.0,1.0,6.90875477931522,8.0,1.3862943611198906,125.0,3.0,United States
132,3d modeling,3D Modeling and Animation,"Blender, Autodesk Maya, Other",1.0,2.0,3.9318256327243257,4.0,0.6931471805599453,25.0,3.0,Pakistan
133,Business development,Data Analysis and Visualization,"Excel, Tableau, Other",1.0,0.0,8.987321812850125,4.0,4.356708826689592,5.0,3.0,China
134,3D Modeling,Video Production,"iOS, Android, Excel, Other",1.0,0.0,8.006700845440367,4.0,1.3862943611198906,5.0,3.0,Finland
140,Business Development,Excel,Excel,1.0,2.0,8.006700845440367,8.0,2.1972245773362196,100.0,35.0,South Africa
141,Data Analysis and Visualization,Data Engineering,"Excel, Python",1.0,1.0,0.0,8.0,0.0,200.0,50.0,United Kingdom
145,Business Development,Data Analysis and Visualization,Other,1.0,0.0,11.51293546492023,12.0,5.583496308781699,999.0,3.0,Indonesia
146,Data Analysis and Visualization,Data Engineering,"Python, SQL",1.0,2.0,6.90875477931522,4.0,3.4657359027997265,10.0,35.0,Nigeria
149,SEO,BI and Analytics,"Google Analytics, Google Data Studio, SEMrush",1.0,2.0,9.90353755128617,8.0,2.6390573296152584,50.0,8.0,United Kingdom
151,Data Analysis and Visualization,APIs and Integrations,"Python, JavaScript, API Development",0.0,0.0,0.0,4.0,0.0,30.0,18.0,India
155,BI and Analytics,Data Analysis and Visualization,"SQL, Tableau, Other",1.0,2.0,7.601402334583733,12.0,2.5649493574615367,996.0,35.0,India
156,Back-end development,Database,"API Development, Other",1.0,1.0,4.394449154672439,12.0,3.5263605246161616,42000.0,8.0,United States
157,Data Analysis and Visualization,APIs and Integrations,"Python, GitHub Actions, Other",1.0,0.0,9.210440366976517,8.0,3.5263605246161616,50.0,13.0,United States
159,Artificial Intelligence,,Other,1.0,2.0,5.303304908059076,8.0,0.6931471805599453,250.0,8.0,India
161,Artificial Intelligence,Data Engineering,"Python, Other",1.0,2.0,6.398594934535208,8.0,2.0794415416798357,50.0,8.0,Germany
162,Data Analysis and Visualization,Data Engineering,"Python, SQL",1.0,2.0,9.210440366976517,8.0,3.7612001156935624,60.0,8.0,United States
165,Machine Learning,Data Engineering,"Python, TensorFlow, PyTorch, Natural Language Processing",1.0,1.0,0.0,12.0,0.0,3000.0,35.0,Switzerland
167,Business Development,Data Analysis and Visualization,"Excel, Other",1.0,2.0,7.601402334583733,8.0,2.302585092994046,50.0,35.0,New Zealand
168,Data Analysis and Visualization,BI and Analytics,"Tableau, Looker",1.0,0.0,8.853808274977197,4.0,4.356708826689592,20.0,35.0,China
170,BI and Analytics,Data Analysis and Visualization,"Python, SQL, Tableau",1.0,2.0,4.61512051684126,4.0,0.0,30.0,13.0,United States
173,AI mobile app development,APIs and Integrations,"Python, API Development, Natural Language Processing",1.0,2.0,8.853808274977197,8.0,3.258096538021482,200.0,8.0,China
174,AI mobile app development,Data Analysis and Visualization,"Python, TensorFlow, PyTorch, Google Cloud Platform",1.0,2.0,6.90875477931522,8.0,2.5649493574615367,50.0,3.0,Thailand
176,Cryptography,Data Engineering,Other,1.0,1.0,0.0,12.0,0.0,5000.0,13.0,Lebanon
178,Bulk Marketing,Data Analysis and Visualization,"Python, Other",0.0,1.0,0.0,4.0,0.0,100.0,3.0,United States
179,Data Analysis and Visualization,Data Engineering,"Python, Other",1.0,1.0,8.699681400989514,4.0,6.674561391814426,10.0,8.0,United Kingdom
181,Natural Language Processing,Machine Learning,"R, Other",1.0,2.0,3.044522437723423,8.0,0.0,50.0,3.0,United States
182,Data Analysis and Visualization,Data Engineering,"Python, Excel, SQL",0.0,2.0,0.0,8.0,0.0,400.0,35.0,Taiwan
183,3d modeling,Data Analysis and Visualization,"Excel, Python, Tableau",1.0,0.0,0.0,4.0,0.0,100.0,35.0,Thailand
186,Algorithm development,Data Analysis and Visualization,"Python, SQL, TensorFlow, AWS",1.0,1.0,9.210440366976517,12.0,1.0986122886681098,8000.0,35.0,Singapore
187,Data Analysis and Visualization,Data Engineering,"Excel, Python, SQL",1.0,2.0,5.707110264748875,8.0,1.3862943611198906,300.0,13.0,United Kingdom
191,BI and Analytics,Data Analysis and Visualization,"Python, R, Azure, Github, Databricks, Other",0.0,1.0,0.0,4.0,0.0,60.0,8.0,Philippines
193,Education & Training,Instructional Design,Other,1.0,2.0,6.2166061010848646,4.0,2.9444389791664403,30.0,18.0,United States
194,Google Analytics,E-commerce Platforms,"Google Analytics, Other",1.0,2.0,9.90353755128617,8.0,3.4965075614664802,200.0,13.0,United States
195,Data Analysis and Visualization,Web Development,"Python, Other",1.0,2.0,8.294299608857235,4.0,2.302585092994046,10.0,35.0,India
197,3d rendering,Data Analysis and Visualization,"Python, TensorFlow",1.0,0.0,6.398594934535208,4.0,1.3862943611198906,25.0,18.0,Malaysia
198,Data Analysis and Visualization,Machine Learning,"Python, Other",1.0,0.0,6.398594934535208,4.0,2.1972245773362196,40.0,50.0,India
199,Artificial Intelligence,Data Analysis and Visualization,"Azure, SQL, Python, Other",1.0,1.0,7.601402334583733,8.0,2.3978952727983707,200.0,18.0,Australia
200,AI mobile app development,Data Engineering,"Python, Other",1.0,2.0,0.0,8.0,0.0,200.0,8.0,United States
203,Ai mobile app development,Natural Language Processing,"Python, TensorFlow, PyTorch, AWS, Google Cloud Platform, Other",1.0,2.0,7.601402334583733,8.0,1.6094379124341003,50.0,8.0,United States
204,3D Modeling and Animation,Artificial Intelligence,"PyTorch, TensorFlow, Python",1.0,1.0,6.90875477931522,8.0,3.912023005428146,120.0,8.0,Mexico
205,Data Analysis and Visualization,BI and Analytics,"Python, Other",0.0,2.0,0.0,2.0,0.0,20.0,3.0,United States
207,Deep Learning,Data Analysis and Visualization,"Python, TensorFlow",1.0,2.0,5.993961427306569,12.0,0.6931471805599453,700.0,35.0,Mexico
212,Branding & Marketing,Data Analysis and Visualization,Other,1.0,2.0,0.0,8.0,0.0,100.0,13.0,United States
222,3d modeling,Artificial Intelligence,"Python, Other",0.0,2.0,0.0,8.0,0.0,5000.0,3.0,United States
225,Ai mobile app development,API Development,Other,1.0,2.0,8.699681400989514,12.0,4.127134385045092,1500.0,13.0,Netherlands
226,Data Analysis and Visualization,Data Engineering,"Excel, SQL, Other",1.0,2.0,5.707110264748875,4.0,2.995732273553991,10.0,35.0,Australia
231,Data Analysis and Visualization,Tableau,SQL,0.0,0.0,0.0,8.0,0.0,3125.0,35.0,United States
232,BI and Analytics,Data Analysis and Visualization,"Power BI, SQL",1.0,2.0,6.90875477931522,8.0,2.8903717578961645,75.0,50.0,Portugal
233,Deep Learning,,Other,1.0,0.0,9.210440366976517,4.0,5.384495062789089,10.0,18.0,India
234,Data Analysis and Visualization,Machine Learning,"Python, Other",1.0,2.0,7.601402334583733,8.0,2.6390573296152584,50.0,13.0,Australia
235,Programming Languages,Data Analysis and Visualization,"Python, Other",1.0,2.0,0.0,2.0,0.0,40.0,50.0,Canada
241,Deep Learning,,Python,0.0,1.0,0.0,8.0,0.0,1000.0,8.0,United States
242,AI mobile app development,Data Analysis and Visualization,"Python, TensorFlow, Other",0.0,2.0,0.0,4.0,0.0,60.0,18.0,Egypt
243,Computer Vision,Data Analysis and Visualization,"Computer Vision, MATLAB",1.0,0.0,9.210440366976517,4.0,5.384495062789089,30.0,13.0,India
245,App development,Programming Languages,"Python, Git, GitHub, Other",1.0,0.0,9.210440366976517,8.0,5.384495062789089,50.0,35.0,India
248,Data Analysis and Visualization,Data Engineering,"SQL, Other",1.0,1.0,0.0,8.0,0.0,500.0,8.0,Sweden
253,Automation,,Other,1.0,2.0,4.394449154672439,8.0,0.0,80.0,35.0,Canada
255,B2B Marketing,Data Engineering,"Python, Other",1.0,0.0,3.713572066704308,4.0,1.3862943611198906,30.0,18.0,Brazil
256,Data Analysis and Visualization,Web Development,"Python, Other",1.0,2.0,5.707110264748875,8.0,0.6931471805599453,50.0,13.0,United States
257,Algorithm development,Artificial Intelligence,Python,1.0,1.0,6.68586094706836,4.0,2.772588722239781,40.0,13.0,United States
259,BI and Analytics,Data Engineering,"Power BI, Other",1.0,1.0,4.394449154672439,12.0,2.6390573296152584,1000.0,18.0,Nigeria
262,App development,API Development,"Tableau, Databricks, Other",1.0,2.0,11.51293546492023,8.0,2.4849066497880004,10000.0,13.0,United States
264,Algorithm development,Data Analysis and Visualization,"Python, Other",1.0,2.0,5.303304908059076,8.0,0.6931471805599453,70.0,13.0,Ireland
272,Data Analysis and Visualization,Web Development,"Python, Flask, Other",1.0,2.0,6.90875477931522,8.0,2.0794415416798357,50.0,35.0,Canada
274,B2b marketing,Data Analysis and Visualization,"Google Analytics, SQL, Python, Google Data Studio",1.0,1.0,6.68586094706836,8.0,1.0986122886681098,250.0,35.0,United States
275,Data Analysis and Visualization,Data Engineering,"Python, SQL, Tableau",1.0,1.0,3.713572066704308,8.0,1.0986122886681098,100.0,35.0,Saudi Arabia
276,Programming Languages,Data Engineering,"C++, Java, Other",1.0,1.0,0.0,4.0,0.0,25.0,18.0,United States
286,Data Analysis and Visualization,Web Development,"Python, Other",1.0,2.0,3.9318256327243257,8.0,1.0986122886681098,100.0,50.0,United States
287,Business Development,Web Development,"Python, Selenium",0.0,1.0,0.0,8.0,0.0,30000.0,3.0,United States
289,BI and Analytics,Data Analysis and Visualization,"SQL, Python, Tableau",1.0,2.0,6.90875477931522,8.0,1.3862943611198906,50.0,35.0,France
291,Business development,Data Analysis and Visualization,Excel,0.0,2.0,0.0,4.0,0.0,500.0,35.0,United States
294,3d modeling,Data Analysis and Visualization,"Python, MATLAB",0.0,2.0,0.0,8.0,0.0,100.0,35.0,United States
299,Algorithm development,Data Analysis and Visualization,"Python, SQL, Other",1.0,2.0,8.294299608857235,12.0,1.0986122886681098,1300.0,35.0,Germany
303,Data Analysis and Visualization,Data Engineering,"Python, SQL, Other",1.0,1.0,5.993961427306569,8.0,1.3862943611198906,50.0,8.0,United States
304,Trading,Python Programming,Other,0.0,1.0,0.0,4.0,0.0,500.0,8.0,Canada
316,Computer Vision,Artificial Intelligence,"Python, Flask, AWS",1.0,1.0,9.105090961257085,12.0,3.044522437723423,1500.0,18.0,United States
317,User Acquisition Specialist,Data Analysis and Visualization,"Unity, Other",1.0,1.0,3.9318256327243257,12.0,1.3862943611198906,900.0,3.0,United Kingdom
322,Data Analysis and Visualization,Python,"SQL, AWS, Other",1.0,1.0,9.210440366976517,8.0,2.772588722239781,120.0,18.0,South Korea
323,Business Development,Data Analysis and Visualization,"Python, Excel, Other",1.0,2.0,0.0,8.0,0.0,150.0,35.0,United States
327,Data Analysis and Visualization,ETL,"Python, SQL, Data Warehousing",1.0,1.0,4.61512051684126,8.0,0.0,350.0,18.0,Japan
330,Algorithm development,Artificial Intelligence,"Python, Other",0.0,1.0,0.0,4.0,0.0,248.0,8.0,Canada
331,Data Analysis and Visualization,Data Engineering,"Python, Other",1.0,2.0,3.9318256327243257,4.0,0.0,49.0,35.0,United States
337,App development,Web Development,"R, HTML, CSS, Other",1.0,2.0,6.90875477931522,8.0,2.772588722239781,50.0,13.0,Canada
338,Data Analysis and Visualization,Data Engineering,"SQL, Python",1.0,2.0,4.394449154672439,12.0,5.755742213586912,1000.0,13.0,United Kingdom
345,Data Analysis and Visualization,Programming Languages,"Python, Excel",1.0,2.0,8.006700845440367,8.0,2.0794415416798357,80.0,8.0,Italy
349,Data Analysis and Visualization,Python,Python,0.0,0.0,0.0,2.0,0.0,35.0,50.0,India
351,Artificial Intelligence,Data Analysis and Visualization,"Python, Natural Language Processing",1.0,1.0,4.394449154672439,12.0,0.6931471805599453,30000.0,35.0,United Kingdom
355,Automation,Web Development,"Selenium, Python, Other",1.0,2.0,0.0,8.0,0.0,100.0,50.0,United States
357,Branding & Marketing,CRM and Marketing Tools,"Google Analytics, Other",1.0,1.0,8.006700845440367,8.0,2.302585092994046,200.0,35.0,Cyprus
360,3d design,Python,Other,0.0,2.0,0.0,8.0,0.0,100.0,13.0,Israel
361,B2B Marketing,Data Analysis and Visualization,"SQL, Python",0.0,1.0,0.0,8.0,0.0,50.0,13.0,France
362,AI mobile app development,Data Engineering,"Python, Other",1.0,1.0,6.90875477931522,4.0,1.3862943611198906,40.0,8.0,Slovenia
365,API Development,Web Development,"Python, SQL, Other",0.0,2.0,0.0,4.0,0.0,375.0,18.0,India
368,Data Analysis and Visualization,Data Analysis,Other,0.0,1.0,0.0,8.0,0.0,150.0,35.0,Guyana
370,Algorithm development,Python,"Reinforcement Learning, Other",0.0,2.0,0.0,8.0,0.0,50.0,8.0,Germany
372,Data Analysis and Visualization,Data Engineering,"Python, SQL, Looker, Data Warehousing, Data Pipelines, Airflow, Other",1.0,2.0,9.210440366976517,12.0,2.302585092994046,600.0,18.0,United Kingdom
374,Web Development,Python,"HTML, CSS, Other",1.0,2.0,8.006700845440367,4.0,2.3978952727983707,49.0,8.0,Kenya
375,BI and Analytics,Data Analysis and Visualization,"Google Analytics, Other",1.0,2.0,10.596659732783579,8.0,2.9444389791664403,420.0,35.0,Australia
376,Programming Languages,Programming Languages,Python,0.0,2.0,0.0,4.0,0.0,93.0,3.0,India
378,E-commerce Platforms,Artificial Intelligence,"Flutter, PHP, Machine Learning, Python, Other",0.0,1.0,0.0,4.0,0.0,500.0,8.0,Pakistan
379,Data Analysis and Visualization,Web Development,"Python, Selenium",1.0,1.0,9.105090961257085,4.0,4.672828834461906,5.0,8.0,Australia
380,Artificial Intelligence,Data Analysis and Visualization,"Python, Machine Learning",1.0,0.0,0.0,8.0,0.0,100.0,3.0,United Arab Emirates
381,Blockchain Development,Data Analysis and Visualization,Other,1.0,2.0,10.308985993422082,12.0,2.995732273553991,1500.0,8.0,Israel
384,App development,Cloud Platforms,"Python, AWS",0.0,0.0,0.0,4.0,0.0,190.0,8.0,Turkey
388,AI mobile app development,Natural Language Processing,"Python, TensorFlow, PyTorch, Other",1.0,2.0,0.0,8.0,0.0,500.0,3.0,India
389,BI and Analytics,Data Analysis and Visualization,"Excel, Python, SQL",1.0,2.0,7.601402334583733,8.0,2.833213344056216,400.0,35.0,India
393,Data Analysis and Visualization,Automation,"Excel, Other",1.0,1.0,0.0,4.0,0.0,100.0,35.0,United Arab Emirates
396,Artificial Intelligence,Artificial Intelligence,"Machine Learning, Deep Learning, Natural Language Processing, Computer Vision, Other",0.0,2.0,0.0,12.0,0.0,1200.0,3.0,Saudi Arabia
397,AI,Artificial Intelligence,Other,1.0,2.0,3.044522437723423,12.0,0.0,1000.0,8.0,Philippines
400,Data Engineering,"Programming Languages, Data Engineering","Java, Other",1.0,2.0,9.210440366976517,12.0,4.997212273764115,1500.0,3.0,United States
402,Data Analysis and Visualization,Data Engineering,"Python, Selenium, Other",1.0,1.0,8.294299608857235,12.0,1.6094379124341003,3000.0,35.0,United Arab Emirates
403,Data Analysis and Visualization,Data Analysis and Visualization,"Python, SQL, Tableau",1.0,2.0,7.601402334583733,8.0,2.833213344056216,250.0,35.0,India
405,BI and Analytics,Data Engineering,"Power BI, Python, SQL, Other",1.0,0.0,3.4339872044851463,4.0,0.0,10.0,35.0,Philippines
406,BI and Analytics,Data Analysis and Visualization,"SQL Server, Power BI, Other",0.0,2.0,0.0,4.0,0.0,50.0,18.0,United States
409,Artificial Intelligence,Data Analysis and Visualization,"Python, Excel",1.0,1.0,8.853808274977197,4.0,4.248495242049359,15.0,35.0,United Arab Emirates
414,Algorithm development,,Other,1.0,1.0,10.819798284210286,8.0,1.791759469228055,315.0,50.0,New Zealand
415,Ai mobile app development,Artificial Intelligence,Other,1.0,0.0,9.210440366976517,4.0,5.37989735354046,20.0,50.0,India
417,Data Analysis and Visualization,Data Engineering,"Python, Excel",1.0,1.0,0.0,12.0,0.0,1000.0,3.0,India
419,Business development,Data Analysis and Visualization,"Excel, Google Data Studio",1.0,1.0,7.601402334583733,8.0,2.8903717578961645,120.0,35.0,Singapore
420,AI mobile app development,Data Engineering,"Python, Spark, Airflow, Kubernetes, Jenkins, AWS, Bitbucket, Other",1.0,2.0,5.303304908059076,12.0,0.0,1000.0,13.0,United States
423,BI and Analytics,,Other,1.0,2.0,11.002116507732017,8.0,3.784189633918261,250.0,13.0,Singapore
424,CRM and Marketing Tools,Data Analysis and Visualization,"Google Data Studio, Other",0.0,1.0,0.0,2.0,0.0,40.0,18.0,Nepal
426,Content Development,Writing,"Python, SQL",1.0,2.0,8.699681400989514,8.0,4.51085950651685,200.0,35.0,Estonia
428,Google Analytics,,Other,1.0,2.0,4.61512051684126,8.0,1.3862943611198906,100.0,13.0,Australia
430,Data Analysis and Visualization,Data Engineering,"Python, SQL",1.0,2.0,9.210440366976517,8.0,3.1780538303479458,100.0,35.0,Netherlands
433,3d modeling,Computer Vision,"Python, Other",1.0,2.0,6.90875477931522,8.0,3.6109179126442243,75.0,3.0,Pakistan
434,Natural Language Processing,Data Engineering,"Python, Other",0.0,1.0,0.0,8.0,0.0,2000.0,35.0,Australia
436,Data Analysis and Visualization,BI and Analytics,"SQL, Python",1.0,1.0,9.210440366976517,8.0,3.9512437185814275,100.0,3.0,United States
437,BI and Analytics,Data Analysis and Visualization,Power BI,1.0,1.0,6.803505257608338,8.0,2.995732273553991,80.0,8.0,United Kingdom
438,Google Analytics,Web Development,"Google Analytics, JavaScript, Other",1.0,0.0,8.853808274977197,4.0,4.356708826689592,20.0,18.0,China
439,Artificial Intelligence,Programming Languages,"Matlab, C#, Other",1.0,1.0,4.61512051684126,4.0,0.0,40.0,35.0,Canada
441,Geospatial Analysis,Data Analysis and Visualization,"Excel, Other",1.0,0.0,8.517393171418904,8.0,4.143134726391533,100.0,18.0,United Kingdom
444,Business development,CRM and Marketing Tools,"Salesforce, HubSpot",1.0,1.0,7.601402334583733,12.0,2.1972245773362196,2000.0,35.0,Hong Kong
446,Artificial Intelligence,Artificial Intelligence,"Machine Learning, Deep Learning, Other",1.0,2.0,3.9318256327243257,4.0,0.0,25.0,18.0,Canada
448,Web Development,Data Engineering,"Python, Selenium, Other",0.0,2.0,0.0,12.0,0.0,1200.0,3.0,Saudi Arabia
449,Data Analysis and Visualization,Data Engineering,"SQL, Python",0.0,2.0,0.0,4.0,0.0,500.0,13.0,United States
450,BI and Analytics,Data Analysis and Visualization,"Python, SQL, Other",1.0,1.0,0.0,12.0,0.0,800.0,18.0,United Kingdom
454,Blockchain Development,Data Analysis and Visualization,"Blockchain, Python, Other",0.0,0.0,0.0,8.0,0.0,50.0,3.0,United States
455,Business applications development,Data Analysis and Visualization,"Excel, Python, SQL, Other",1.0,2.0,9.210440366976517,8.0,3.044522437723423,70.0,35.0,United Kingdom
459,Data Analysis and Visualization,Data Engineering,"Python, SQL, Selenium, Other",1.0,2.0,6.2166061010848646,8.0,0.6931471805599453,250.0,18.0,Spain
460,Business Applications Development,Data Analysis and Visualization,"Power BI, SQL",1.0,2.0,0.0,8.0,0.0,150.0,18.0,United States
464,Project Management,Enterprise Architecture Planning,"Blockchain, Other",0.0,2.0,0.0,8.0,0.0,1250.0,13.0,Netherlands
465,Algorithm development,Web Development,"JavaScript, HTML, CSS, Python",0.0,2.0,0.0,4.0,0.0,500.0,13.0,United States
467,Business applications development,Data Engineering,"Excel, Python, Other",1.0,2.0,4.394449154672439,12.0,0.0,1000.0,18.0,United Kingdom
468,Business Development,Data Engineering,"PostgreSQL, Other",1.0,0.0,8.517393171418904,12.0,2.833213344056216,1000.0,13.0,India
469,BI and Analytics,Data Analysis and Visualization,"Python, Machine Learning",1.0,2.0,6.68586094706836,8.0,0.0,300.0,13.0,Philippines
470,Natural Language Processing,Data Analysis and Visualization,"Python, R, Machine Learning",1.0,1.0,11.51293546492023,8.0,3.6635616461296463,300.0,8.0,Netherlands
472,App development,Web Development,"HTML, CSS, JavaScript",1.0,2.0,0.0,8.0,0.0,450.0,8.0,Denmark
473,Data Analysis and Visualization,Data Engineering,"Excel, Other",1.0,2.0,6.90875477931522,12.0,0.6931471805599453,2000.0,8.0,United States
474,Big data,Data Analysis and Visualization,"R, SQL",0.0,2.0,0.0,4.0,0.0,80.0,35.0,Saudi Arabia
475,Data Analysis and Visualization,Data Engineering,"Python, Other",1.0,2.0,6.803505257608338,4.0,2.6390573296152584,10.0,35.0,United States
477,Data Analysis and Visualization,Web Development,"Python, Other",1.0,2.0,7.601402334583733,8.0,1.3862943611198906,450.0,35.0,Israel
479,Artificial Intelligence,Natural Language Processing,"Google Cloud Platform, Python",1.0,1.0,6.2166061010848646,4.0,3.713572066704308,15.0,35.0,Pakistan
480,Data Analysis and Visualization,Programming Languages,"Python, Other",1.0,2.0,0.0,4.0,0.0,20.0,13.0,Pakistan
481,Data Analysis and Visualization,Web Development,"R, Other",1.0,2.0,9.90353755128617,8.0,4.727387818712341,100.0,8.0,Hong Kong
482,AI mobile app development,Cloud Platforms,AWS,1.0,2.0,0.0,4.0,0.0,30.0,8.0,Pakistan
485,Automation,,Other,1.0,2.0,8.517393171418904,8.0,3.4011973816621555,50.0,18.0,Spain
486,AI mobile app development,Artificial Intelligence,"Python, TensorFlow",0.0,0.0,0.0,4.0,0.0,150.0,13.0,United Kingdom
