Payment_type_Hourly,Payment_Situation_Payment verified,EX_level_demand,Spent,Connects,Feedback_Num,Job_Cost,Hourly_Rate,Applicants_Num,Category,Client_Country
0,1,0,3.713572067,4,1.098612289,10.0,,35,Data Science & SQL Development,Nigeria
1,1,2,0.0,2,0.0,,23.0,13,Data Science & SQL Development,Switzerland
1,0,2,0.0,2,0.0,,15.0,8,Big Data & Business Analytics,Netherlands
1,0,2,0.0,4,0.0,,10.5,13,Big Data & Business Analytics,United States
0,1,2,0.0,8,0.0,100.0,,18,Big Data & Business Analytics,United States
1,1,1,9.105090961,12,2.197224577,,47.5,18,Data Science & SQL Development,United States
1,1,0,6.908754779,12,1.386294361,,7.5,18,Marketing Automation & CRM,United States
1,0,2,0.0,8,0.0,,32.5,3,Big Data & Business Analytics,United States
1,0,2,0.0,8,0.0,,45.0,3,Data Science & SQL Development,United States
0,0,2,0.0,8,0.0,3500.0,,3,Data Science & SQL Development,United States
1,1,1,11.51293546,12,3.401197382,,52.5,13,Salesforce & CRM Development,France
1,1,1,11.28979441,2,2.302585093,,62.5,35,AI & Mobile App Development,United States
0,0,2,0.0,2,0.0,35.0,,13,Data Science & SQL Development,United States
0,1,1,0.0,12,0.0,700.0,,3,Data Science & SQL Development,United States
1,1,1,8.006700845,4,1.791759469,,77.5,8,Data Science & SQL Development,United States
0,1,2,3.044522438,4,1.098612289,5.0,,8,Data Analysis & Visualization,Ecuador
0,1,1,9.210440367,8,2.890371758,200.0,,8,Data Analysis & Visualization,United States
0,0,2,0.0,8,0.0,200.0,,3,Data Science & SQL Development,India
1,1,1,11.51293546,12,2.079441542,,35.0,3,Data Science & SQL Development,United States
1,1,2,8.006700845,4,0.693147181,,57.5,8,Data Analysis & Visualization,United States
0,0,2,0.0,4,0.0,50.0,,3,Big Data & Business Analytics,Hong Kong
1,1,1,6.908754779,12,0.0,,60.0,8,API & Data Engineering,United States
1,1,2,5.303304908,12,0.0,,29.0,3,Big Data & Business Analytics,India
1,1,0,6.398594935,12,1.098612289,,22.5,18,Data Science & SQL Development,India
0,0,2,0.0,4,0.0,100.0,,13,Data Science & SQL Development,United States
0,1,2,8.294299609,12,0.0,1000.0,,8,AI & Mobile App Development,United States
1,1,1,9.210440367,2,1.386294361,,55.0,3,Data Science & SQL Development,United States
1,1,2,11.51293546,12,4.605170186,,45.0,3,API Integration & Development,United States
0,1,1,0.0,12,0.0,1000.0,,8,Google Analytics & Ads Marketing,United Kingdom
1,1,2,8.294299609,12,1.386294361,,16.5,35,Big Data & Business Analytics,United States
0,1,2,6.908754779,8,0.0,300.0,,13,Big Data & Business Analytics,United States
1,1,2,6.908754779,4,1.386294361,,57.5,18,Data Science & SQL Development,United States
1,1,1,11.51293546,12,4.510859507,,12.5,3,Big Data & Business Analytics,United States
1,1,1,8.699681401,4,3.044522438,,57.5,8,Salesforce & CRM Development,Canada
1,1,2,4.615120517,4,0.0,,37.5,8,Big Data & Business Analytics,United States
1,1,0,4.394449155,12,0.693147181,,26.0,8,Data Analysis & Visualization,United States
0,1,1,0.0,8,0.0,50.0,,3,Big Data & Business Analytics,Portugal
0,0,1,0.0,4,0.0,150.0,,3,API & Data Engineering,Romania
1,1,2,10.30898599,4,3.80666249,,57.5,8,Data Analysis & Visualization,United States
0,1,1,11.00211651,8,4.543294782,200.0,,13,Big Data & Business Analytics,Canada
1,1,1,7.601402335,12,2.48490665,,77.5,18,Data Science & SQL Development,United States
1,1,1,4.615120517,4,0.0,,57.5,35,Big Data & Business Analytics,United States
1,1,1,11.28979441,12,4.219507705,,100.0,18,Data Science & SQL Development,United States
1,1,1,6.552507887,12,0.693147181,,30.0,35,Data Science & SQL Development,United States
0,1,0,9.210440367,8,2.079441542,100.0,,35,Data Analysis & Visualization,United States
0,1,2,4.615120517,4,1.098612289,40.0,,8,API & Data Engineering,Nepal
0,0,1,0.0,4,0.0,99.0,,18,Big Data & Business Analytics,Pakistan
1,0,2,0.0,4,0.0,,59.0,18,Data Science & SQL Development,United States
1,1,2,11.40757606,12,3.218875825,,59.0,13,Data Analysis & Visualization,United States
1,1,1,7.601402335,8,0.0,,75.0,13,Data Analysis & Visualization,United States
1,1,2,10.30898599,4,4.094344562,,159.0,8,API Integration & Development,United Arab Emirates
0,1,1,7.601402335,8,2.944438979,200.0,,35,Machine Learning & AI Development,United Kingdom
1,1,2,9.210440367,4,4.248495242,,29.0,13,Machine Learning & AI Development,United States
0,1,0,4.615120517,8,1.386294361,100.0,,13,Big Data & Business Analytics,United States
1,1,1,9.210440367,4,3.737669618,,53.0,35,Machine Learning & AI Development,Ukraine
1,1,1,9.210440367,4,2.397895273,,57.5,18,Data Science & SQL Development,United States
1,1,1,10.59665973,12,3.610917913,,45.0,8,Machine Learning & AI Development,United States
1,0,2,0.0,8,0.0,,27.5,3,3D Modeling & Engineering,United States
1,0,2,0.0,12,0.0,,85.0,13,DevOps & Cloud Platforms,United States
1,1,1,0.0,12,0.0,,60.0,13,AI & Mobile App Development,Canada
1,1,2,6.908754779,12,0.0,,30.5,8,Data Science & SQL Development,United States
0,1,0,5.707110265,8,1.945910149,50.0,,13,Data Science & SQL Development,Bangladesh
0,0,0,0.0,4,0.0,30.0,,13,Data Science & SQL Development,United States
1,0,2,0.0,8,0.0,,27.5,3,Data Science & SQL Development,United States
1,0,1,0.0,8,0.0,,30.0,3,AI & Mobile App Development,United States
1,1,2,0.0,8,0.0,,35.0,35,Data Analysis & Visualization,United States
0,1,0,6.908754779,4,4.852030264,5.0,,3,Machine Learning & AI Development,Canada
1,0,2,0.0,2,0.0,,25.0,18,Big Data & Business Analytics,United States
1,1,2,8.294299609,8,2.079441542,,47.5,13,Data Science & SQL Development,United States
1,1,1,9.210440367,4,3.17805383,,50.0,35,Big Data & Business Analytics,United States
0,1,1,9.903537551,12,2.708050201,2000.0,,50,Big Data & Business Analytics,United States
0,0,2,0.0,8,0.0,2000.0,,8,Algorithm & Backend Programming,Argentina
0,1,1,11.51293546,12,3.891820298,20000.0,,3,Data Science & SQL Development,Switzerland
1,1,1,6.908754779,8,0.0,,30.0,13,Data Science & SQL Development,United States
1,1,1,6.803505258,4,1.791759469,,16.5,8,Big Data & Business Analytics,United States
0,1,1,11.15626481,8,4.304065093,500.0,,35,Big Data & Business Analytics,United Kingdom
1,1,1,4.394449155,12,0.0,,6.5,35,Data Analysis & Visualization,Australia
1,1,1,4.510859507,12,0.693147181,,100.0,3,Machine Learning & AI Development,United States
0,0,1,0.0,2,0.0,20.0,,18,Data Science & SQL Development,United Kingdom
0,0,2,0.0,4,0.0,200.0,,8,Data Science & SQL Development,Netherlands
0,0,0,0.0,8,0.0,1200.0,,8,Data Science & SQL Development,Switzerland
1,0,1,0.0,12,0.0,,57.5,35,Data Science & SQL Development,Switzerland
0,1,2,0.0,12,0.0,750.0,,8,Testing & Automation,United States
1,1,1,8.006700845,12,0.693147181,,20.0,3,React & Frontend Development,Switzerland
1,1,2,7.601402335,4,0.693147181,,23.0,13,Google Analytics & Ads Marketing,Canada
1,1,2,11.51293546,4,5.105945474,,35.0,8,Data Analysis & Visualization,United States
1,0,2,0.0,2,0.0,,22.5,35,Data Science & SQL Development,United States
1,1,2,6.552507887,4,1.609437912,,7.0,50,Data Science & SQL Development,United States
1,0,1,0.0,2,0.0,,52.5,35,Machine Learning & AI Development,United Kingdom
1,1,0,0.0,4,0.0,,9.0,50,Big Data & Business Analytics,United Arab Emirates
1,1,2,6.908754779,12,1.609437912,,30.5,13,Marketing Automation & CRM,United Kingdom
0,1,2,8.294299609,12,3.663561646,1000.0,,18,Machine Learning & AI Development,United States
1,1,1,8.294299609,4,1.791759469,,26.5,8,Data Science & SQL Development,United States
1,0,1,0.0,8,0.0,,97.5,8,Data Science & SQL Development,United States
1,1,1,8.987321813,12,1.945910149,,21.5,3,Data Science & SQL Development,France
1,1,1,7.601402335,4,0.693147181,,75.0,13,Data Science & SQL Development,United States
1,0,1,0.0,8,0.0,,57.5,13,Big Data & Business Analytics,Canada
1,1,0,7.601402335,12,3.401197382,,10.0,13,AI & Mobile App Development,United Kingdom
1,1,2,10.59665973,12,3.931825633,,17.5,35,Data Science & SQL Development,United States
1,1,2,11.51293546,12,4.644390899,,16.5,50,Data Science & SQL Development,Switzerland
0,1,2,4.394449155,8,4.682131227,400.0,,50,Data Science & SQL Development,United States
1,1,2,11.51293546,12,4.682131227,,40.0,13,Machine Learning & AI Development,Germany
0,1,1,6.908754779,8,2.48490665,500.0,,3,API & Data Engineering,United Kingdom
0,1,0,6.908754779,8,0.693147181,175.0,,8,React & Frontend Development,Germany
0,1,0,5.993961427,8,2.48490665,70.0,,18,Big Data & Business Analytics,Belgium
0,1,1,6.908754779,8,1.386294361,125.0,,3,Data Science & SQL Development,United States
0,1,2,3.931825633,4,0.693147181,25.0,,3,3D Design & Animation,Pakistan
0,1,0,8.987321813,4,4.356708827,5.0,,3,Big Data & Business Analytics,China
0,1,0,8.006700845,4,1.386294361,5.0,,3,3D Modeling & Engineering,Finland
1,1,1,6.685860947,12,1.386294361,,11.0,8,Big Data & Business Analytics,United States
1,1,1,8.006700845,4,2.48490665,,31.5,35,Data Science & SQL Development,United States
1,1,0,11.51293546,12,5.141663557,,7.5,3,Data Science & SQL Development,Belgium
1,1,2,4.394449155,12,1.098612289,,20.0,13,Backend Development,Egypt
1,0,0,0.0,2,0.0,,22.5,50,Data Science & SQL Development,Nigeria
0,1,2,8.006700845,8,2.197224577,100.0,,35,Big Data & Business Analytics,South Africa
0,1,1,0.0,8,0.0,200.0,,50,Data Science & SQL Development,United Kingdom
1,1,2,5.707110265,4,1.386294361,,12.5,35,Big Data & Business Analytics,Spain
1,1,2,11.15626481,4,5.105945474,,20.0,35,Big Data & Business Analytics,Australia
1,1,2,11.51293546,12,1.791759469,,29.0,18,API & Data Engineering,Germany
0,1,0,11.51293546,12,5.583496309,999.0,,3,Big Data & Business Analytics,Indonesia
0,1,2,6.908754779,4,3.465735903,10.0,,35,Data Science & SQL Development,Nigeria
1,1,1,10.30898599,4,2.302585093,,25.0,35,Big Data & Business Analytics,United Kingdom
1,0,2,0.0,12,0.0,,12.5,3,Marketing Strategy & Campaigns,United Kingdom
0,1,2,9.903537551,8,2.63905733,50.0,,8,SEO & Search Engine Marketing,United Kingdom
1,0,2,0.0,8,0.0,,30.5,18,Data Science & SQL Development,Kenya
0,0,0,0.0,4,0.0,30.0,,18,Big Data & Business Analytics,India
1,0,2,0.0,4,0.0,,18.0,13,Project Management & Skills,South Africa
1,1,1,5.303304908,12,1.386294361,,52.5,35,Machine Learning & AI Development,Pakistan
1,1,2,11.28979441,12,4.262679877,,20.0,35,Google Analytics & Ads Marketing,United States
0,1,2,7.601402335,12,2.564949357,996.0,,35,Data Science & SQL Development,India
0,1,1,4.394449155,12,3.526360525,42000.0,,8,API & Data Engineering,United States
0,1,0,9.210440367,8,3.526360525,50.0,,13,Big Data & Business Analytics,United States
1,1,2,8.853808275,12,0.693147181,,32.5,18,Big Data & Business Analytics,United Kingdom
0,1,2,5.303304908,8,0.693147181,250.0,,8,Machine Learning & AI Development,India
1,1,1,4.110873864,12,0.693147181,,15.0,13,Data Science & SQL Development,India
0,1,2,6.398594935,8,2.079441542,50.0,,8,Machine Learning & AI Development,Germany
0,1,2,9.210440367,8,3.761200116,60.0,,8,Data Science & SQL Development,United States
1,1,2,11.51293546,12,5.225746674,,10.0,13,Data Science & SQL Development,Singapore
1,1,2,9.210440367,4,3.583518938,,29.0,35,Machine Learning & AI Development,Australia
0,1,1,0.0,12,0.0,3000.0,,35,Machine Learning & AI Development,Switzerland
1,1,2,0.0,4,0.0,,27.5,35,Data Science & SQL Development,United Arab Emirates
0,1,2,7.601402335,8,2.302585093,50.0,,35,Big Data & Business Analytics,New Zealand
0,1,0,8.853808275,4,4.356708827,20.0,,35,Data Science & SQL Development,China
1,0,1,0.0,8,0.0,,36.0,50,Full-Stack Development,Israel
0,1,2,4.615120517,4,0.0,30.0,,13,Data Science & SQL Development,United States
1,1,1,6.552507887,4,0.693147181,,42.5,35,Full-Stack Development,Australia
1,1,1,10.30898599,4,1.791759469,,30.0,35,Machine Learning & AI Development,United Kingdom
0,1,2,8.853808275,8,3.258096538,200.0,,8,AI & Mobile App Development,China
0,1,2,6.908754779,8,2.564949357,50.0,,3,Machine Learning & AI Development,Thailand
1,1,2,6.398594935,12,1.098612289,,9.0,35,Data Science & SQL Development,New Zealand
0,1,1,0.0,12,0.0,5000.0,,13,Big Data & Business Analytics,Lebanon
1,1,1,11.15626481,12,2.397895273,,52.5,8,Big Data & Business Analytics,Australia
0,0,1,0.0,4,0.0,100.0,,3,Data Analysis & Visualization,United States
0,1,1,8.699681401,4,6.674561392,10.0,,8,Data Science & SQL Development,United Kingdom
1,1,2,11.51293546,12,3.583518938,,16.5,35,Data Science & SQL Development,United States
0,1,2,3.044522438,8,0.0,50.0,,3,Machine Learning & AI Development,United States
0,0,2,0.0,8,0.0,400.0,,35,Data Science & SQL Development,Taiwan
0,1,0,0.0,4,0.0,100.0,,35,Data Science & SQL Development,Thailand
1,1,1,0.0,4,0.0,,7.5,18,Data Science & SQL Development,Pakistan
1,0,0,0.0,8,0.0,,44.5,13,Data Science & SQL Development,United States
0,1,1,9.210440367,12,1.098612289,8000.0,,35,Big Data & Business Analytics,Singapore
0,1,2,5.707110265,8,1.386294361,300.0,,13,Data Science & SQL Development,United Kingdom
1,1,1,0.0,12,0.0,,35.0,3,Big Data & Business Analytics,Poland
1,0,1,0.0,8,0.0,,52.5,35,Machine Learning & AI Development,India
1,1,1,10.59665973,12,4.290459441,,52.5,35,Data Science & SQL Development,India
0,0,1,0.0,4,0.0,60.0,,8,Data Science & SQL Development,Philippines
1,0,1,0.0,8,0.0,,86.5,35,Data Science & SQL Development,United States
0,1,2,6.216606101,4,2.944438979,30.0,,18,Graphic Design & Branding,United States
0,1,2,9.903537551,8,3.496507561,200.0,,13,Google Analytics & Ads Marketing,United States
0,1,2,8.294299609,4,2.302585093,10.0,,35,Big Data & Business Analytics,India
1,1,1,11.51293546,12,5.135798437,,62.5,8,Data Analysis & Visualization,United States
0,1,0,6.398594935,4,1.386294361,25.0,,18,Big Data & Business Analytics,Malaysia
0,1,0,6.398594935,4,2.197224577,40.0,,50,Data Science & SQL Development,India
0,1,1,7.601402335,8,2.397895273,200.0,,18,Big Data & Business Analytics,Australia
0,1,2,0.0,8,0.0,200.0,,8,AI & Mobile App Development,United States
1,1,1,2.397895273,12,0.0,,7.0,8,Data Science & SQL Development,United States
1,1,2,6.908754779,4,2.63905733,,21.5,18,Machine Learning & AI Development,United States
0,1,2,7.601402335,8,1.609437912,50.0,,8,AI & Mobile App Development,United States
0,1,1,6.908754779,8,3.912023005,120.0,,8,Machine Learning & AI Development,Mexico
0,0,2,0.0,2,0.0,20.0,,3,Data Science & SQL Development,United States
1,1,2,8.294299609,4,2.197224577,,16.5,50,Data Science & SQL Development,Hong Kong
0,1,2,5.993961427,12,0.693147181,700.0,,35,Data Science & SQL Development,Mexico
1,0,2,4.394449155,8,0.0,,10.0,3,React & Frontend Development,Philippines
1,0,0,0.0,4,0.0,,21.5,8,API & Data Engineering,Australia
1,1,2,0.0,4,0.0,,24.0,18,Full-Stack Development,United States
1,1,2,0.0,12,0.0,,25.0,35,Data Science & SQL Development,Australia
0,1,2,0.0,8,0.0,100.0,,13,Data Analysis & Visualization,United States
1,1,2,9.903537551,12,2.63905733,,25.5,35,RESTful API Development,Australia
1,0,1,0.0,12,0.0,,15.0,8,Data Science & SQL Development,United States
1,0,2,0.0,2,0.0,,45.0,18,Big Data & Business Analytics,United States
1,1,1,7.601402335,12,0.693147181,,22.5,50,Big Data & Business Analytics,United States
1,0,1,0.0,8,0.0,,6.5,13,Data Science & SQL Development,United Arab Emirates
1,0,2,0.0,8,0.0,,40.0,8,Data Science & SQL Development,Pakistan
1,1,1,10.81979828,4,4.430816799,,50.0,13,Data Science & SQL Development,United States
1,1,1,11.51293546,12,2.890371758,,35.0,8,Data Science & SQL Development,United States
1,1,2,11.51293546,12,3.36729583,,6.5,50,Data Science & SQL Development,United States
0,0,2,0.0,8,0.0,5000.0,,3,Machine Learning & AI Development,United States
1,1,1,8.006700845,4,2.197224577,,40.0,35,Data Analysis & Visualization,United States
1,1,2,11.51293546,12,3.044522438,,57.5,35,Data Science & SQL Development,United States
0,1,2,8.699681401,12,4.127134385,1500.0,,13,AI & Mobile App Development,Netherlands
0,1,2,5.707110265,4,2.995732274,10.0,,35,Data Science & SQL Development,Australia
1,1,2,8.294299609,12,2.564949357,,20.0,18,Data Analysis & Visualization,Netherlands
1,1,2,11.28979441,12,4.158883083,,5.5,3,WordPress & Web Development,Australia
1,1,1,11.15626481,8,4.317488114,,57.5,35,Project Management & Skills,United States
1,0,1,0.0,2,0.0,,40.0,13,Big Data & Business Analytics,India
0,0,0,0.0,8,0.0,3125.0,,35,Data Science & SQL Development,United States
0,1,2,6.908754779,8,2.890371758,75.0,,50,Data Science & SQL Development,Portugal
0,1,0,9.210440367,4,5.384495063,10.0,,18,Machine Learning & AI Development,India
0,1,2,7.601402335,8,2.63905733,50.0,,13,Data Science & SQL Development,Australia
0,1,2,0.0,2,0.0,40.0,,50,Big Data & Business Analytics,Canada
1,1,2,9.210440367,12,3.401197382,,3.0,8,Machine Learning & AI Development,United States
1,1,1,11.51293546,12,4.634728988,,47.5,35,Data Science & SQL Development,United States
1,1,1,10.59665973,12,2.944438979,,80.0,3,Big Data & Business Analytics,United States
1,1,1,8.853808275,12,0.693147181,,200.0,35,Machine Learning & AI Development,United States
1,1,1,0.0,4,0.0,,25.0,18,Google Analytics & Ads Marketing,United States
0,0,1,0.0,8,0.0,1000.0,,8,Machine Learning & AI Development,United States
0,0,2,0.0,4,0.0,60.0,,18,AI & Mobile App Development,Egypt
0,1,0,9.210440367,4,5.384495063,30.0,,13,Big Data & Business Analytics,India
1,1,2,4.615120517,12,0.0,,59.0,50,Data Science & SQL Development,United States
0,1,0,9.210440367,8,5.384495063,50.0,,35,Backend Development,India
1,1,2,11.51293546,4,4.007333185,,22.5,35,AI & Mobile App Development,United States
1,1,1,0.0,12,0.0,,52.5,50,Data Science & SQL Development,United States
0,1,1,0.0,8,0.0,500.0,,8,Data Science & SQL Development,Sweden
1,1,2,11.51293546,4,2.197224577,,30.5,50,Data Science & SQL Development,United States
1,1,1,7.601402335,12,3.761200116,,57.5,8,Data Science & SQL Development,United States
1,0,1,0.0,4,0.0,,14.0,8,Sales & Marketing Strategy,Pakistan
1,1,1,11.00211651,12,3.33220451,,35.0,35,Data Analysis & Visualization,United States
0,1,2,4.394449155,8,0.0,80.0,,35,Testing & Automation,Canada
1,1,2,10.81979828,12,0.0,,3.5,8,Data Science & SQL Development,United States
0,1,0,3.713572067,4,1.386294361,30.0,,18,Data Analysis & Visualization,Brazil
0,1,2,5.707110265,8,0.693147181,50.0,,13,Big Data & Business Analytics,United States
0,1,1,6.685860947,4,2.772588722,40.0,,13,Machine Learning & AI Development,United States
1,1,1,0.0,8,0.0,,29.0,35,Data Analysis & Visualization,United States
0,1,1,4.394449155,12,2.63905733,1000.0,,18,Data Science & SQL Development,Nigeria
1,1,1,6.685860947,4,1.098612289,,47.5,13,Data Analysis & Visualization,United States
1,1,2,6.398594935,12,1.386294361,,55.0,3,Big Data & Business Analytics,United States
0,1,2,11.51293546,8,2.48490665,10000.0,,13,API & Data Engineering,United States
1,0,2,0.0,8,0.0,,117.5,8,Big Data & Business Analytics,Australia
0,1,2,5.303304908,8,0.693147181,70.0,,13,Big Data & Business Analytics,Ireland
1,1,2,2.397895273,4,0.693147181,,10.0,13,Data Science & SQL Development,United States
1,1,1,7.601402335,12,0.693147181,,62.5,35,Data Science & SQL Development,United States
1,1,2,10.59665973,12,2.079441542,,60.0,50,Data Science & SQL Development,United States
1,1,1,8.006700845,4,1.098612289,,45.0,35,AI & Mobile App Development,Australia
1,1,2,6.908754779,2,1.098612289,,70.0,3,Data Analysis & Visualization,Canada
1,1,2,4.615120517,4,0.0,,7.5,50,Data Science & SQL Development,United States
1,1,1,7.601402335,12,4.615120517,,7.5,35,Data Science & SQL Development,United States
0,1,2,6.908754779,8,2.079441542,50.0,,35,Big Data & Business Analytics,Canada
1,0,1,0.0,8,0.0,,86.5,35,Data Science & SQL Development,United States
0,1,1,6.685860947,8,1.098612289,250.0,,35,Data Analysis & Visualization,United States
0,1,1,3.713572067,8,1.098612289,100.0,,35,Data Science & SQL Development,Saudi Arabia
0,1,1,0.0,4,0.0,25.0,,18,Algorithm & Backend Programming,United States
1,1,2,6.908754779,4,2.079441542,,29.0,18,Machine Learning & AI Development,United States
1,1,1,4.394449155,12,2.995732274,,30.0,13,E-commerce Marketing & Platforms,United States
1,1,0,9.210440367,2,3.044522438,,6.0,50,Big Data & Business Analytics,United States
1,1,2,11.51293546,4,4.983606622,,27.5,35,API & Data Engineering,United States
1,1,2,10.59665973,4,3.465735903,,32.5,13,Data Science & SQL Development,United States
1,1,1,4.615120517,12,0.0,,100.0,13,Data Analysis & Visualization,United States
1,0,2,0.0,2,0.0,,48.0,35,Data Analysis & Visualization,United States
1,0,2,0.0,12,0.0,,35.0,35,Data Science & SQL Development,Canada
1,1,2,11.15626481,12,2.397895273,,25.0,35,Data Science & SQL Development,United States
0,1,2,3.931825633,8,1.098612289,100.0,,50,Big Data & Business Analytics,United States
0,0,1,0.0,8,0.0,30000.0,,3,API & Data Engineering,United States
1,1,2,11.28979441,12,1.098612289,,30.5,35,Machine Learning & AI Development,Puerto Rico
0,1,2,6.908754779,8,1.386294361,50.0,,35,Data Science & SQL Development,France
1,1,1,8.294299609,12,0.693147181,,30.0,50,Salesforce & CRM Development,United States
0,0,2,0.0,4,0.0,500.0,,35,Data Science & SQL Development,United States
1,0,1,0.0,8,0.0,,52.5,35,Full-Stack Development,United Arab Emirates
1,1,2,9.903537551,12,4.406719247,,16.5,3,Big Data & Business Analytics,United States
0,0,2,0.0,8,0.0,100.0,,35,Big Data & Business Analytics,United States
1,1,1,11.51293546,4,3.828641396,,30.0,50,Data Science & SQL Development,United States
1,0,2,0.0,2,0.0,,15.0,8,Data Science & SQL Development,United Kingdom
1,0,0,0.0,12,0.0,,12.5,3,Big Data & Business Analytics,Poland
1,0,1,0.0,12,0.0,,57.5,18,Data Science & SQL Development,United States
0,1,2,8.294299609,12,1.098612289,1300.0,,35,Big Data & Business Analytics,Germany
1,1,2,5.993961427,12,0.0,,37.5,8,Data Science & SQL Development,United States
1,1,1,6.908754779,4,1.098612289,,65.0,8,Big Data & Business Analytics,United States
1,1,1,6.685860947,4,1.098612289,,50.0,18,Data Science & SQL Development,Canada
0,1,1,5.993961427,8,1.386294361,50.0,,8,Data Science & SQL Development,United States
0,0,1,0.0,4,0.0,500.0,,8,Algorithm & Backend Programming,Canada
1,1,2,9.903537551,4,4.007333185,,9.0,35,Data Analysis & Visualization,Israel
1,0,2,0.0,8,0.0,,29.0,8,AI & Mobile App Development,United States
1,1,1,10.81979828,4,2.944438979,,57.5,35,Data Science & SQL Development,United States
1,0,1,0.0,12,0.0,,170.0,8,Data Science & SQL Development,United States
1,1,2,11.51293546,4,4.890349128,,7.5,35,Data Science & SQL Development,Hong Kong
1,1,1,6.803505258,4,1.609437912,,52.5,35,Data Analysis & Visualization,United Kingdom
1,0,2,0.0,8,0.0,,50.0,13,Web & Branding Development,United States
1,1,2,11.28979441,12,3.465735903,,20.0,50,Data Science & SQL Development,Australia
1,1,1,9.210440367,12,3.17805383,,52.5,35,Machine Learning & AI Development,Latvia
1,1,2,0.0,4,0.0,,50.0,13,Machine Learning & AI Development,United States
1,1,2,11.51293546,12,3.295836866,,55.0,35,Data Science & SQL Development,Belgium
0,1,1,9.105090961,12,3.044522438,1500.0,,18,Machine Learning & AI Development,United States
0,1,1,3.931825633,12,1.386294361,900.0,,3,Big Data & Business Analytics,United Kingdom
1,1,2,4.394449155,12,4.382026635,,40.0,3,Data Science & SQL Development,Canada
1,0,2,0.0,2,0.0,,23.0,18,Data Science & SQL Development,United States
1,1,0,0.0,8,0.0,,3.0,8,Content Creation & SEO,Georgia
1,0,0,0.0,2,0.0,,22.5,35,Data Science & SQL Development,Denmark
0,1,1,9.210440367,8,2.772588722,120.0,,18,Data Science & SQL Development,South Korea
0,1,2,0.0,8,0.0,150.0,,35,Big Data & Business Analytics,United States
1,1,2,11.51293546,12,3.17805383,,25.0,35,Data Science & SQL Development,United States
1,1,1,9.105090961,12,3.433987204,,105.0,35,Data Science & SQL Development,United States
1,0,2,0.0,2,0.0,,25.0,13,Data Science & SQL Development,Finland
0,1,1,4.615120517,8,0.0,350.0,,18,Data Science & SQL Development,Japan
1,1,2,11.51293546,8,3.663561646,,47.5,35,Data Science & SQL Development,United Kingdom
1,1,2,4.262679877,4,0.0,,11.5,35,Big Data & Business Analytics,United States
0,0,1,0.0,4,0.0,248.0,,8,Machine Learning & AI Development,Canada
0,1,2,3.931825633,4,0.0,49.0,,35,Data Science & SQL Development,United States
1,1,1,11.51293546,4,4.997212274,,70.0,35,Data Science & SQL Development,United States
1,1,1,4.394449155,12,0.0,,85.0,35,Data Science & SQL Development,United States
1,1,1,0.0,4,0.0,,25.0,13,Big Data & Business Analytics,Mexico
1,1,2,8.699681401,12,1.098612289,,27.5,35,Data Science & SQL Development,United States
1,0,1,0.0,12,0.0,,52.5,18,Machine Learning & AI Development,Kenya
0,1,2,6.908754779,8,2.772588722,50.0,,13,Full-Stack Development,Canada
